,Song,Artist,Lyrics
324,My Blood,Twenty One Pilots,"When everyone you thought you knew
Deserts your fight, I'll go with you
You're facin' down a dark hall
I'll grab my light
And go with you, I'll go with you
I'll go with you, I'll go with you
I'll go with you, I'll go with you
I'll go with you, I'll go with you
Surrounded and up against a wall
I'll shred 'em all and go with you
When choices end, you must defend
I'll grab my bat
And go with you, I'll go with you
I'll go with you, I'll go with you, yeah
Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run
Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run
If there comes a day
People posted up at the end of your driveway
They're callin' for your head and they're callin' for your name
I'll bomb down on 'em, I'm comin' through
Did they know I was grown with you?
If they're here to smoke, know I'll go with you
Just keep it outside, keep it outside, yeah
Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run
Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
If you find yourself in a lion's den
I'll jump right in and pull my pin
And go with you, I'll go with you
I'll go with you, I'll go with you
(You don't need to run)
I'll go with you, I'll go with you
(You don't need to run)
I'll go with you
My blood, I'll go with you, yeah
Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run
Stay with me, no, you don't need to run
Stay with me, my blood, you don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
(Ooh-ooh, ooh-ooh)
You don't need to run
Stay with me, no, you don't need to run
Stay with me, my blood"
325,My My Metrocard,Le Tigre,"Off the pillow and into the air
I’m ready ‘cause it’s my day
Situation: it’s all possible
Everything is going my way
My, my Metrocard
My, my Metrocard
My, my Metrocard
Think they’ll go a little
But they're gonna go far!
Oh, fuck! Giuliani!
He’s such! A fucking jerk
Shut down! All the stripbars
Workfare! Does not work
My, my Metrocard
My, my Metrocard
My, my Metrocard
Think they’ll go a little
But they're gonna go far!
Next stop! Atlantic Avenue
Next stop! Christopher Street
Next stop! Transfer to the
Next stop! A, C or E
My, my Metrocard
My, my Metrocard
My, my Metrocard
Think they’ll go a little
But they're gonna go far!
Next stop! Atlantic Avenue
Next stop! Christopher Street
Next stop! Transfer to the
Next stop! A, C or E
My, my Metrocard
My, my Metrocard
My, my Metrocard
Think they’ll go a little
But they're gonna go far!"
326,My Oh My,Camila Cabello,"They say he likes a good time (My oh my)
He comes alive at midnight (Every night)
My mama doesn't trust him (My oh my)
He's only here for one thing, but (So am I)
Yeah, a little bit older, a black leather jacket
A bad reputation, insatiable habits
He was onto me, one look and I couldn't breathe, yeah
I said, if he kissed me, I might let it happen (Oh)
I swear on my life that I've been a good girl (Oh)
Tonight, I don't wanna be her
They say he likes a good time (My oh my)
He comes alive at midnight (Every night)
My mama doesn't trust him
 (My oh my)
He's only here for one thing, but (
Let's go
, so am I)
Look, I'm the type to make her turn on her daddy (
Oh yeah
)
DaBaby make her forget what she learned from her daddy
I don't be tripping on lil' shawty, I let her do whatever she please
I don't be kissing on lil' shawty, she don't be kissing on me either
She came with you, then left with me
I went up a point, let's call it even (
Yeah, yeah
)
Don't like the car she in, gon' end up buyin' her a new Bimmer (Let's go)
That girl know what she want, she make me take it off when she see me (Let's go)
She say I make her wet whenever my face pop up on TV
I had to say, ""No disrespect, gotta do it safe or you can keep it""
Pop star, I'm fresh up out the trap and I'm going Bieber
She know I'm a call away, she can drop a pin and I'd come meet her
Stand next to me, you gon' end up catchin' a fever (
Yeah, yeah
)
I'm hot
I swear on my life that I've been a good girl (Good girl, good girl)
Tonight, I don't wanna be her
They say he likes a good time (My oh my)
He comes alive at midnight (Every night)
(He comes alive, oh every night)
My mama doesn't trust him (My oh my)
He's only here for one thing, but (So am I)
My, my, my, my, my oh my
My mama doesn't trust you, baby
My, my, my, my, my oh my
And my daddy doesn't know you, no
My, my, my, my, my oh my (Oh my, my, my, my, my)
My, my, my, my, my oh my (My, my, my, ooh)
They say he likes a good time (My oh my)
He comes alive at midnight (Every night)
My mama doesn't trust him (My oh my)
He's only here for one thing, but (So am I)"
327,My Shit,A Boogie Wit da Hoodie,"In my bag now, In my bag now (Bag now)
What the fuck is that sound? (That sound)
What the fuck is that sound? (That sound)
Brought the MAC out, niggas sat down
I got shit I never had now, I could brag now
Got my bitch a Louis bag now, she could brag now
Bought my bitch a Birkin bag now, she a brat now
Now I'm sittin' in the club in a different bag now
Baby when I pick it up you gon' put that ass down
Tell 'em you don't give a fuck, baby spin that ass 'round
Tell the DJ turn it up, what the fuck is that sound?
A Boogie Wit Da Hoodie and it's always foreign
Yeah I know she like my style, them other niggas borin'
When I pull up, it go skrrt-skrrt, that's a foreign
When I pull up on a red light, they don't want it
Yeah I came up from the mud and my baby know that
Introduced her to my plug, now she think she all that
When I first hit her up, no she never wrote back
Then I saw her at the club so I got up on that
Now every time they play this song she say ""This is my shit"" (This is my shit)
See the flick of my wrist (Flick of my wrist)
And I know she know wassup, baby, this is my shit (This is my shit)
See the flick of my wrist (Flick of my wrist)
They know that's my bitch, that's a fact and she stuck with me
When you in my section, fill it up when my cup empty
I can't fuck with rats, that's a fact, that's a dub nigga
All about my F, can't put water over blood, nigga
Trust me, it get ugly
If I wasn't gettin' money would you still want me?
If I told you I was broke would you start actin' funny?
This is all I ever wanted, you can't take it from me
Now every time they play this song, she say ""This is my shit"" (This is my shit)
See the flick of my wrist (Flick of my wrist)
And I know she know what's up baby this is my shit (This is my shit)
See the flick of my wrist (Flick of my wrist)"
328,Myron,Lil Uzi Vert,"(
Oogie Mane, he killed it
)
(
Supah Mario on the beat, nigga
)
Let's go
Let's go, yeah (Pew)
Stay so fresh, so clean, think they like me (Like me)
I wear more Supreme than a hypebeast (Than a hypebeast)
Only blue, no, green don't excite me (Excite me)
I could make a ho out your wifey (Out your wifey)
Jeremy Scott up on my toes, act like Shockey (Woah)
Made her get down on the bottom and she top me (Let's go)
Pull up extra icy, I'm not playin' hockey (Bling, blaow)
Niggas think I'm weird and they don't really like me (Like me)
'Cause I could fuck your bitch and fuck your mom and auntie (Yeah)
Your girl's a five, but your mom is a dime piece (Ayy)
And your auntie, her name is Miss Connie (Miss Connie)
I got one Glock, his name Clyde, the other one named Bonnie (Let's go)
These bitches, they think they dandy, but they be just lyin' (Bitches lie)
That lil' bitch, can't throw it back, I swear that ho be tryin' (Tryin')
When I fuck her from the front it sound like that bitch dyin' (On God)
VVS, I need a vest, anemic my diamonds (Woah)
I swear these niggas talk shit but they really be hidin' (Woo)
Had that boy's bitch on my dick, that ho, she was just ridin' (Yeah, yeah)
Diamonds on my neck so wet, that shit look like Poseidon (So wet, water)
I stand on my money, then my height, it turn to 9' 10"" (Yeah)
Yeah, these niggas be bitin' (Fuck)
Grra-ta, I'm not really with the fightin' (Grra-ta)
Yeah, me and her was vibin' (Yeah, vibin')
Yeah, yeah (Yeah)
Your bitch call me Myron (Call me...)
Stay so fresh, so clean, think they like me (Like me)
I wear more Supreme than a hypebeast (Than a hypebeast)
Only blue, no, green don't excite me (Excite me, green)
I could make a ho out your wifey (Out your wifey)
Jeremy Scott up on my toes, act like Shockey (Woah)
Made her get down on the bottom and she top me (Let's go)
Pull up extra icy, I'm not playin' hockey (Hockey, bling, blaow)
Niggas think I'm weird and they don't really like me (Like me)
Ninety thousand, that's a light band, (Yeah) yeah (Ninety thousand, that's a light)
I can tell you, it's the real spill (I can tell you, it's the real)
Yeah, fucked your bitch just for a light bill (Yeah)
Yeah, banana clip, I won't slip on the peel
I can't slip, slip, slip, no, no, I can't miss
I got icebergs on my neck, I can sink a ship
Outer space swag, not regular, Titanic my whip
In the hood, I'm not regular, I just brung my stick, baby
Oh, you think I give a fuck because I'm rich, baby? (Huh?)
Come on, baby, let's have sex and have a rich baby
She said, ""I thought you ain't do that,"" well, you dismissed, baby (Bye-bye)
Uh, young nigga, no, I ain't changed, Lil Uzi from the 6', baby (Yeah)
Uh, I don't think they like me (Nah)
But when I drop this song, I know they'll get excited (Yeah)
She was homie girl, but now that girl is my bitch (Mine)
I like them girls that do that scammin' and that swipin'
I just ran up all my bands, I just ran up all my bands
I just ran up all my bands, I just ran up all my bands
She give me head, that bit' migraine (Migraine)
She give me head, that bit' migraine (Migraine)
She give me head, that bit' migraine (Migraine)
She give me head, that bit' migraine (Let's go)
Got addicted to the road, got addicted to the stress
Got addicted to the foreigns, got addicted to the racks (Racks)
Man, these boys be doin' the most (Most)
And I swear that is a fact (Fact)
Man, this girl wanna give me brain
Yeah, we call that bit' migraine
Yeah, we call that bit' migraine
Yeah, we call that bit' migraine (Yeah, yeah)
Yeah, we call that bit' migraine (Ayy)
Yeah, we call that bit' migraine
Pack all my shit then I might migrate
Anywhere you goin', know some niggas gon' hit
I don't run from shit but the damn police
All blue hunnids to wash my face, yeah
Stay so fresh, so clean, think they like me (Like me)
I wear more Supreme than a hypebeast (Than a hypebeast)
Only blue, no, green don't excite me (Excite me)
I could make a ho out your wifey (Out your wifey)
Jeremy Scott up on my toes, act like Shockey (Woah)
Made her get down on the bottom and she top me (Let's go)
Pull up extra icy, I'm not playin' hockey (Hockey, bling, blaow)
Niggas think I'm weird and they don't really like me"
329,NEW MAGIC WAND,"Tyler, The Creator","Sometimes you gotta close a door to open a window
I saw a photo, you looked joyous
My eyes are green, I eat my veggies
I need to get her out the picture
She's really fuckin' up my frame
She's not developed like we are
Like magic, like magic, like magic, gone
New magic, new magic, new magic wand (Ayy)
Like magic, like magic, like magic, gone (Gone, nigga)
New magic (Woo), new magic, new magic wand
My buddy said I'm on the spectrum
Don't call me selfish, I hate sharin'
This 60-40 isn't workin'
I want a hundred of your time, you're mine
Please don't leave me now
Please don't leave me now (
Don't leave
)
Please don't leave me now
Please don't leave me now (
Don't leave
)
Please don't leave me now (
Don't leave
)
(Like magic, like magic, like magic, gone)
Please don't leave me now (I can make her leave)
(New magic, new magic, new magic wand)
Please don't leave me now (
Don't leave
)
(Like magic, like magic, like magic, gone)
Please don't leave me now
(New magic, new magic, new magic wand)
I wanna be found, passenger in your car (
Don't leave
)
You wanna give me mixed signals, don't park (I can make her leave)
She's gonna be dead, I just got a magic wand (
Don't leave
)
We can finally be together
You roll the dice, hit a seven, sure you right
Beginner's luck? You not my first, who gives a fuck?
Your other one? Evaporate, we celebrate
You under oath, now pick a side and if you don't
(Run, run, run, run)
I'll pick you both
(Run, run, run, run)
It's not a joke, murder she wrote
Ayo, take one look in the mirror, implications so clear
I live life with no fear, except for the idea
That one day you won't be here
I will not fetch the ball
Eyes are green, I eat my vegetables
It has nothin' to do with that broad
But if it did, guarantee she'd be gone, well
I got a plan, but the walkin' depends
If you can understand, I'm a hawk in the gym
Eyes on the prize, got weight on my chest
That I need to get off, I ain't talkin' to them
Can't be in the picture if it got no frame
And let the world know 'cause I ain't got no shame
Blow the whole spot up, 'cause I ain't—
I wanna share last names, I wanna be your number one
Not the other one, keep it on the low
I'm in my right mind, keep it on a high
Janis Joplin spillin' feelings, now I'm out here moppin' 'em
Four on the floor, pack up your bags, we hit the store
Grab our supplies, no need for masks, bust through the door
Get the job done like retirement, I admit you look concerned
New magic wand"
330,Natural,Imagine Dragons,"Will you hold the line
When every one of them has given up and given in? Tell me
In this house of mine
Nothing ever comes without a consequence or cost, tell me
Will the stars align?
Will Heaven step in? Will it save us from our sin? Will it?
'Cause this house of mine stands strong
That's the price you pay
Leave behind your heart and cast away
Just another product of today
Rather be the hunter than the prey
And you're standing on the edge, face up 'cause you're a
Natural
A beating heart of stone
You gotta be so cold
To make it in this world
Yeah, you're a natural
Living your life cutthroat
You gotta be so cold
Yeah, you're a natural
Will somebody
Let me see the light within the dark trees shadowing?
What's happenin'?
Lookin' through the glass, find the wrong within the past knowin'
Oh, we are the youth
Cut until it bleeds inside a world without the peace, facing
A bit of the truth, the truth
That's the price you pay
Leave behind your heart and cast away
Just another product of today
Rather be the hunter than the prey
And you're standing on the edge, face up 'cause you're a
Natural
A beating heart of stone
You gotta be so cold
To make it in this world
Yeah, you're a natural
Living your life cutthroat
You gotta be so cold
Yeah, you're a natural
Deep inside me, I'm fading to black, I'm fading
Took an oath by the blood of my hand, won't break it
I can taste it, the end is upon us, I swear
I'm gonna make it
I'm gonna make it
Natural
A beating heart of stone
You gotta be so cold
To make it in this world
Yeah, you're a natural
Living your life cutthroat
You gotta be so cold
Yeah, you're a natural
Natural
Yeah, you're a natural"
331,Need to Know,Doja Cat,"Yeah
Wanna know what it's like (Like)
Baby, show me what it's like (Like)
I don't really got no type (Type)
I just wanna fuck all night
Yeah-yeah, oh-woah-woah (Oh, ooh, mmm)
Baby, I need to know, mmm (Yeah, need to know)
I just been fantasizin' (Size)
And we got a lotta time (Time)
Baby, come throw the pipe (Pipe)
Gotta know what it's like (Like)
Yeah-yeah, oh-woah-woah
Baby, I need to know, mmm
What's your size? (Size)
Add, subtract, divide ('Vide)
Daddy don't throw no curves (Curves)
Hold up, I'm goin' wide (Wide)
We could just start at ten (Ten)
Then we can go to five (Five)
I don't play with my pen (Pen)
I mean what I writе
Yeah-yeah, woah-woah-woah
I just can't help but bе sexual (Oh)
Tell me your schedule (Yeah)
I got a lotta new tricks for you, baby
Just sayin' I'm flexible (I will)
I do what I can to get you off (I will)
Might just fuck him with my makeup on (I will)
Eat it like I need an apron on (Yeah, oh)
Eat it 'til I need to change my thong (Yeah, ayy)
We could do it to your favorite song (Yeah, ayy)
Take a ride into the danger zone
You know my nigga be buggin' me
I just be wonderin' if you can fuck on me better
Itchin' for me like an ugly sweater
Need it in me like a Chuck E. need cheddar
I need to know
Wanna know what it's like (Like)
Baby, show me what it's like (Like)
I don't really got no type (Type)
I just wanna fuck all night
Yeah-yeah, oh-woah-woah (Oh, ooh, mmm)
Baby, I need to know, mmm (Yeah, need to know)
I just been fantasizin' (Size)
And we got a lotta time (Time)
Baby, come throw the pipe (Pipe)
Gotta know what it's like (Like)
Yeah-yeah, oh-woah-woah
Baby, I need to know, mmm
You're exciting, boy, come find me
Your eyes told me, ""Girl, come ride me""
Fuck that feeling both us fighting
Could he try me? (Yeah) Mmm, most likely
Tryna see if you could handle this ass
Prolly give his ass a panic attack
Sorry if I gave a random erection
Prolly thinkin' I'm a telekinetic
Oh, wait, you a fan of the magic?
Poof, pussy like an Alakazam
I heard from a friend of a friend
That that dick was a ten out of ten
I can't stand it, just one night me
Clink with the drink, gimme a sip
Tell me what's your kink, gimme the dick
Spank me, slap me, choke me, bite me (Ew)
Oh, wait, I can take it (Ah)
Give a fuck 'bout what your wifey's sayin' (Yeah)
Wanna know what it's like (Like)
Baby, show me what it's like (Like)
I don't really got no type (Type)
I just wanna fuck all night
Yeah-yeah, oh-woah-woah (Oh, ooh, mmm)
Baby, I need to know, mmm (Yeah, need to know)
I just been fantasizin' (Size)
And we got a lotta time (Time)
Baby, come throw the pipe (Pipe)
Gotta know what it's like (Like)
Yeah-yeah, oh-woah-woah
Baby, I need to know, mmm"
332,Needed Me,Rihanna,"Mustard on the beat, ho!
I was good on my own, that's the way it was
That's the way it was
You was good on the low for a faded fuck
On some faded love
Shit, what the fuck you complaining for?
Feeling jaded, huh?
Used to trip off that shit I was kickin' to you
Had some fun on the run though I'll give it to you
But baby, don't get it twisted
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch
Didn't they tell you that I was a savage?
Fuck ya white horse and ya carriage
Bet you never could imagine
Never told you you could have it
You needed me
Ooh, you needed me
To feel a little more, and give a little less
Know you hate to confess
But baby ooh, you needed me
You been rollin' around, shit I'm rollin' up
Light and roll it up
Break it down, like a pound, shit was never us
Shit was never us
That's the real, on the real, are you serious?
How you feel, how you feel?
Used to trip off that shit I was kickin' to ya
Had some fun on the run though, I'll give it to ya
But baby, don't get it twisted
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch
Didn't they tell you that I was a savage?
Fuck ya white horse and ya carriage
Bet you never could imagine
Never told you you could have it
You needed me
Ooh, you needed me
To feel a little more, and give a little less
Know you hate to confess
But baby ooh, you needed me"
333,Never Be the Same,Camila Cabello,"Somethin' must've gone wrong in my brain
Got your chemicals all in my veins
Feelin' all the highs, feelin' all the pain
Let go of the wheel, that's the bullet lane
Now I'm seein' red, not thinkin' straight
Blurrin' all the lines, you intoxicate me
Just like nicotine, heroin, morphine
Suddenly, I'm a fiend and you're all I need
All I need
Yeah, you're all I need
It's you, babe
And I'm a sucker for the way that you move, babe
And I could try to run, but it would be useless
You're to blame
Just one hit of you, I knew I'll never be the same
It's you, babe
And I'm a sucker for the way that you move, babe
And I could try to run, but it would be useless
You're to blame
Just one hit of you, I knew I'll never ever, ever be the same
I'll never be the same
I'll never be the same
I'll never be the same
Sneakin' in L.A. when the lights are low
Off of one touch, I could overdose
You said, ""Stop playin' it safe
Girl, I wanna see you lose control""
Just like nicotine, heroin, morphine
Suddenly, I'm a fiend and you're all I need
All I need
Yeah, you're all I need
It's you, babe
And I'm a sucker for the way that you move, babe
And I could try to run, but it would be useless
You're to blame
Just one hit of you, I knew I'll never be the same
It's you, babe
And I'm a sucker for the way that you move, babe
And I could try to run, but it would be useless
You're to blame
Just one hit of you, I knew I'll never ever, ever be the same
I'll never be the same
I'll never be the same
I'll never be the same
You're in my blood, you're in my veins
You're in my head (I blame)
You're in my blood, you're in my veins (Ah)
You're in my head (I blame)
I'm sayin' it's you, babe
And I'm a sucker for the way that you move, babe
And I could try to run, but it would be useless (Ah)
You're to blame (You're to blame)
Just one hit of you, I knew I'll never be the same (I'll never be the)
It's you, babe (Yeah)
And I'm a sucker for the way that you move, babe (Yeah)
And I could try to run, but it would be useless (Ha-ah, ah)
You're to blame (Ha-ah, ah, ah)
Just one hit of you, I knew I'll never ever, ever be the same"
334,Never Really Over,Katy Perry,"I'm losing my self-control
Yeah, you’re starting to trickle back in
But I don't wanna fall down the rabbit hole
Cross my heart, I won't do it again
I tell myself, tell myself, tell myself, ""Draw the line""
And I do, I do
But once in a while, I trip up, and I cross the line
And I think of you
Two years and just like that
My head still takes me back
Thought it was done, but I
Guess it’s never really over
Oh, we were such a mess
But wasn't it the best?
Thought it was done, but I
Guess it's never really over
Just because it's over doesn't mean it's really over
And if I think it over, maybe you'll be coming over again
And I'll have to get over you all over again
Just because it’s over doesn’t mean it's really over
And if I think it over, maybe you’ll be coming over again
And I'll have to get over you all over again
I guess I could try hypnotherapy
I gotta rewire this brain
'Cause I can't even go on the internet
Without even checking your name
I tell myself, tell myself, tell myself, ""Draw the line""
And I do, I do
But once in a while, I trip up, and I cross the line
I think of you
Two years and just like that
My head still takes me back
Thought it was done, but I
Guess it’s never really over
Oh, we were such a mess
But wasn't it the best?
Thought it was done, but I
Guess it's never really over
Just because it's over doesn't mean it's really over
And if I think it over, maybe you'll be coming over again
And I'll have to get over you all over again
Just because it's over doesn't mean it's really over
And if I think it over, maybe you'll be coming over again
And I'll have to get over you all over again
Thought we kissed goodbye
Thought we meant this time was the last
But I guess it's never really over
Thought we drew the line right through you and I
Can't keep going back
I guess it's never really over, yeah
Two years and just like that
My head still takes me back
Thought it was done, but I
Guess it's never really over
Just because it's over doesn't mean it's really over
And if I think it over, maybe you'll be coming over again
And I'll have to get over you all over again
(And I'll have to get over you all over again)
Just because it's over doesn't mean it's really over
And if I think it over, maybe you'll be coming over again
And I'll have to get over you all over again
(Over you all over again)
Thought we kissed goodbye
Thought we meant this time was the last
But I guess it's never really over
Thought we drew the line right through you and I
Can't keep going back
I guess it's never really over"
335,New Patek,Lil Uzi Vert,"Hmm
New Patek on my wrist
White diamonds, them shits hit pink
Alright, I'm ready
New Patek on my wrist (Yeah)
White diamonds, them shits hit pink (Yeah, yeah)
Got cold, had to go get a mink (Yeah)
New finger rings hit like a sink (Yeah, yeah)
You a bad bitch, then we can link (What?)
Hit the shower, you might stink, hello (Yeah)
Bitches bad, yeah, they all migrate (Uh)
And she said ""Lil Uzi so great (Uh, uh)
How you deal with all that hate?"" (Uh-uh)
Shut up, bitch, don't give me migraine
New Patek on my wrist
White diamonds, them shits hit pink
Got cold, had to go get a mink
New finger rings hit like a sink (Water)
You a bad bitch, then we can link
Hit the shower, you might stink
Bitches bad, yeah, they all migrate (Uh-uh)
And she said ""Lil Uzi so great""
Okay, and your girlfriend like my drip (Drip)
Happy birthday to that bitch (Bitch)
Yeah, the one that sucked my dick (Dick)
Triple S got that extra grip (Grip)
So you know I cannot slip (Slip)
That jeweler made me proud of my wrist (Wrist)
Franck Muller made me proud of my wrist (Wrist)
Franck Muller made me proud of my wrist (Wrist)
My shooters gon' shoot, can't miss (Grrah)
My shooter got a 30 on his hip (Bah)
Yeah, I need my fix
Was that a pair of boots from Rick? (Rick)
Had to tell that lil' girl don't trip (Woah)
Cool blood, but my money Crip
Got clap on lights, no flick
Can't take no pic, no flick (No cameras)
Fuck that bitch in my new whip (Skrrt)
Her ass so fat, can't fit
Her ass so fat, it's amazing (Amazing)
Her ass so fat, it's a miracle (Miracle)
Her last man money hysterical
She from the six one nine, Rey Mysterio (Let's go)
Yeah, I'm the same nigga bustin' through your stereo
Yeah, my boys on the block selling O's, no Cheerios
I don't wake up in the mornin' for cereal
Flip the brick, make the whole shit do an aerial
Air the shit out and make the ho sing, Ariel (Yah)
Silencers so they really cannot hear me though
Killin' these beats, yeah, Lil Uzi a serial
Clean up the body, prepare for the burial
Burberry pants, I got Burberry tennis shoes
I got the swag that probably, um, will finish you
I am a octopus, I cannot breathe without water
So I put diamonds on my tentacles
How is you stoppin' us? They is not toppin' us
You know I had to cop that shit just by the twos
Blood in my chakra, I will not pop at ya
Put money on my head just for your album, bruh
Tell me, lil' boy, if it's beef I can chop this shit up
Like it's prime and treat you like it's Optimus
My chain is white gold your shit look like copper, bruh
MCM, yeah, that shit made out of ostrich, bruh
But I don't wear it, give that to my hoes
Yeah, I swear that lil' nigga my clone
Yeah, I had to do this shit all by my own
Yeah, it's slime shit, lil' baby, put diamonds in my nose (Slatt)
New Patek on my wrist (Yeah)
White diamonds, them shits hit pink (Yeah, yeah)
Got cold, had to go get a mink (Yeah)
New finger rings hit like a sink (Yeah, yeah)
You a bad bitch, then we can link (What?)
Hit the shower, you might stink, hello (Yeah, yeah)
Bitches bad, yeah, they all migrate (Uh)
And she said ""Lil Uzi so great (Uh, uh)
How you deal with all that hate?"" (Uh-uh)
Shut up, bitch, don't give me migraine
And your girlfriend like my drip (Drip)
Happy birthday to that bitch (Bitch)
Yeah, the one that sucked my dick (Dick)
Triple S got that extra grip (Grip)
So you know I cannot slip (Slip)
That jeweler made me proud of my wrist (Wrist)
Franck Muller made me proud of my wrist
Franck Muller made me proud of my wrist
New Rollie made me proud of my wrist
AP make me proud of my wrist
New Richard on my wrist
Got a milli' that's all in my bank (Milli')
New Patek on my wrist
White diamonds, them shits hit pink (Let's go)
Got cold, had to go get a mink
New finger rings hit like a sink (Let's go)
You a bad bitch, then we can link (What?)
Hit the shower, you might stink
Bitches bad, yeah, they all migrate
And she said ""Lil Uzi so great (Great)
How you deal with all that hate?"" (Hate)
Shut up, bitch, don't give me migraine (Uh)
Throw up gang signs, Naruto (Uh)
Put metal in my nose like Pain (Uh)
Man, I never saw this bitch before (Uh)
How the fuck she know my name? (Yeah)
She said, ""Lil Uzi, hello""
I looked at her, ""Oh, hey"" (Hello)
You ain't never seen pastry dough
Well lil' bitch, I got cake (Yeah)
Gettin' money, I'm the man
Gettin' money, had to count the advance
Saint Laurent on my shoes, these not Vans
Need a fan case a nigga get hot
'Member she ain't want me back, I was popped
On the block back before I had locks (Yeah)
Red dot for a chicken, he popped
MC told the bitch eat my cock
Motorcycle days, bitch, Yung Joc
That's what I call her, she all on my top
Rap star or do he sell rock?
He got files so he beatin' the trial
Couple racks and them niggas run wild
Super filthy, man, they livin' so foul
I got some real niggas that's locked up
Tryna shade the bar just for the foul
All these hackers, yeah, these niggas is foul
All my bitches want me to take a vow
Live off verbs, and I live off of nouns
He get money, then I had to say, ""How?""
New rug, and it's made out of wolf
New rabbit, yeah, I use as a towel
Lil' bitch, yeah, I run through the city
Different spots in it just like a cow
Yeah, I'm talkin' 'bout a mansion, no house
Yeah, my closet, yeah, that shit got a house
Four years, I ain't even see a mouse
Please stop talkin', bitch, put dick in your mouth
We get money, what the fuck is a drought?
Make it rain 'cause I'm up in the clouds
Had to tell that lil' bitch, get from around
'Cause that little bitch be fuckin' with clowns
Let's go, let's go, had to tell that lil' bitch, yeah, let's go (Let's go, let's go)
That lil' nigga stole my swag and he tried to steal my flow (My flow, my flow)
I had to switch it up one time just like I switch my phone (My phone, my phone)
I could try one more time, I can give this shit one more go (Let's go, ayy)
I put hundreds in my safe (Ayy)
I throw twenties in her face (Ayy)
I put the M in a J (Ayy)
I got a bae in the Bay (Ayy)
I fucked on that nigga little bitch
That's the reason he tryna say that I'm gay (Ayy)
Way more coochie than Kay Slay (Ayy)
I sell a mil' in a day (Ayy)
All of my bitches they grade A
I did not get in Canada
But when I'm in Toronto they treat me like Drake
This a light jet, this a flight day
Had that lil' bitch, that's on MySpace
I can feel this shit in my veins
Look at my neck, that's an ice tray
Come on tell me, what you sayin'?
(What you sayin'? What you sayin'? What you sayin'?)
And your girlfriend like my drip (Drip)
Happy birthday to that bitch (Bitch)
Yeah, the one that sucked my dick (Dick)
Triple S got that extra grip (Grip)
(Oh yeah)
Franck Muller made me proud of my wrist (Wrist)
Franck Muller made me proud of my wrist (Wrist)
New Rollie made me proud of my wrist (Woo, woo)
AP make me proud of my wrist (Woo)
New Richard on my wrist (Woo)
Got a milli' that's all in my bank (Woo, woo)
New Patek on my wrist (Yeah)
White diamonds, them shits hit pink (Yeah, yeah)
Got cold, had to go get a mink (Yeah)
New finger rings hit like a sink (Yeah, yeah)
You a bad bitch, then we can link (What?)
Hit the shower, you might stink (Yeah, yeah)
Bitches bad, yeah, they all migrate (Uh)
And she said ""Lil Uzi so great (Uh, uh)
How you deal with all that hate?"" (Uh-uh)
Shut up, bitch, don't give me migraine
Throw up gang signs, Naruto (Yeah)
Put metal in my nose like Pain (Uh)
Man, I never saw this bitch before (Uh)
How the fuck she know my name?
She said, ""Lil Uzi, hello"" (Uh)
I looked at her, ""Oh, hey""
You ain't never seen pastry dough (Yeah)
Tell lil' bitch, I got cake (Ayy)
Gettin' money, I'm the man
Gettin' money, had to count the advance
Saint Laurent all on my shoes, these not Vans
Need a fan in case a nigga get hot
'Member she ain't want me back, I was popped
On the block back before I had locks
Red dot for a chicken, he popped
MC, told the bitch eat my cock
Yeah, yeah, that's it"
